id           date       TMAX  TMIN  PRCP
MX000017004  2010-01-01  inf  inf  inf
MX000017004  2010-01-02  inf  inf  inf
MX000017004  2010-01-03  inf  inf  inf
MX000017004  2010-01-04  inf  inf  inf
MX000017004  2010-01-05  inf  inf  0
MX000017004  2010-01-06  inf  inf  inf
MX000017004  2010-01-07  inf  inf  0
MX000017004  2010-01-08  inf  inf  inf
MX000017004  2010-01-09  inf  inf  inf
MX000017004  2010-01-10  inf  inf  inf
MX000017004  2010-01-11  inf  inf  inf
MX000017004  2010-01-12  inf  inf  0
MX000017004  2010-01-13  inf  inf  inf
MX000017004  2010-01-14  inf  inf  0
MX000017004  2010-01-15  inf  inf  inf
MX000017004  2010-01-16  inf  inf  0
MX000017004  2010-01-17  inf  inf  inf
MX000017004  2010-01-18  inf  inf  inf
MX000017004  2010-01-19  inf  inf  0
MX000017004  2010-01-20  inf  inf  inf
MX000017004  2010-01-21  inf  inf  0
MX000017004  2010-01-22  inf  inf  inf
MX000017004  2010-01-23  inf  inf  0
MX000017004  2010-01-24  inf  inf  inf
MX000017004  2010-01-25  inf  inf  0
MX000017004  2010-01-26  inf  inf  inf
MX000017004  2010-01-27  inf  inf  0
MX000017004  2010-01-28  inf  inf  inf
MX000017004  2010-01-29  inf  inf  0
MX000017004  2010-01-30  278  145  inf
MX000017004  2010-01-31  inf  inf  0
MX000017004  2010-02-01  inf  inf  inf
MX000017004  2010-02-02  273  144  0
MX000017004  2010-02-03  inf  inf  inf
MX000017004  2010-02-04  241  144  0
MX000017004  2010-02-05  inf  inf  inf
MX000017004  2010-02-06  inf  inf  inf
MX000017004  2010-02-07  inf  inf  0
MX000017004  2010-02-08  inf  inf  inf
MX000017004  2010-02-09  inf  inf  0
MX000017004  2010-02-10  inf  inf  inf
MX000017004  2010-02-11  inf  inf  0
MX000017004  2010-02-12  297  134  inf
MX000017004  2010-02-13  inf  inf  0
MX000017004  2010-02-14  inf  inf  inf
MX000017004  2010-02-15  inf  inf  0
MX000017004  2010-02-16  inf  inf  inf
MX000017004  2010-02-17  inf  inf  inf
MX000017004  2010-02-18  inf  inf  inf
MX000017004  2010-02-19  inf  inf  inf
MX000017004  2010-02-20  inf  inf  inf
MX000017004  2010-02-21  inf  inf  inf
MX000017004  2010-02-22  inf  inf  0
MX000017004  2010-02-23  inf  inf  inf
MX000017004  2010-02-24  299  107  inf
MX000017004  2010-02-25  inf  inf  0
MX000017004  2010-02-26  inf  inf  inf
MX000017004  2010-02-27  inf  inf  0
MX000017004  2010-02-28  inf  inf  inf
MX000017004  2010-03-01  inf  inf  inf
MX000017004  2010-03-02  inf  inf  0
MX000017004  2010-03-03  inf  inf  inf
MX000017004  2010-03-04  inf  inf  0
MX000017004  2010-03-05  321  142  inf
MX000017004  2010-03-06  inf  inf  0
MX000017004  2010-03-07  inf  inf  inf
MX000017004  2010-03-08  inf  inf  0
MX000017004  2010-03-09  inf  inf  inf
MX000017004  2010-03-10  345  168  inf
MX000017004  2010-03-11  inf  inf  0
MX000017004  2010-03-12  inf  inf  inf
MX000017004  2010-03-13  inf  inf  0
MX000017004  2010-03-14  inf  inf  inf
MX000017004  2010-03-15  inf  inf  0
MX000017004  2010-03-16  311  176  inf
MX000017004  2010-03-17  inf  inf  0
MX000017004  2010-03-18  inf  inf  inf
MX000017004  2010-03-19  inf  inf  0
MX000017004  2010-03-20  inf  inf  inf
MX000017004  2010-03-21  inf  inf  inf
MX000017004  2010-03-22  inf  inf  0
MX000017004  2010-03-23  inf  inf  inf
MX000017004  2010-03-24  inf  inf  0
MX000017004  2010-03-25  inf  inf  inf
MX000017004  2010-03-26  inf  inf  0
MX000017004  2010-03-27  inf  inf  inf
MX000017004  2010-03-28  inf  inf  0
MX000017004  2010-03-29  inf  inf  inf
MX000017004  2010-03-30  inf  inf  inf
MX000017004  2010-03-31  inf  inf  0
MX000017004  2010-04-01  inf  inf  0
MX000017004  2010-04-02  inf  inf  inf
MX000017004  2010-04-03  inf  inf  0
MX000017004  2010-04-04  inf  inf  inf
MX000017004  2010-04-05  inf  inf  inf
MX000017004  2010-04-06  inf  inf  0
MX000017004  2010-04-07  inf  inf  inf
MX000017004  2010-04-08  inf  inf  inf
